Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1807","LBJ_1417","VBILepBor13265_1807","PATRIC.355277.4.NC_008510.CDS.1682183.1682557.rev","PATRIC","CDS",1682183,1682557,375,"-","FIG00023845","PLF_171_00002287","PGF_00007384","YP_800749.1",124,,"General secretion pathway protein H",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1808","LBJ_1418","VBILepBor13265_1808","PATRIC.355277.4.NC_008510.CDS.1682774.1683250.rev","PATRIC","CDS",1682774,1683250,477,"-","FIG00001157","PLF_171_00001871","PGF_01894207","YP_800750.1",158,"gspG","General secretion pathway protein G",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1809","LBJ_1419","VBILepBor13265_1809","PATRIC.355277.4.NC_008510.CDS.1683273.1684499.rev","PATRIC","CDS",1683273,1684499,1227,"-","FIG00167295","PLF_171_00001656","PGF_00007353","YP_800751.1",408,"gspF","General secretion pathway protein F","GO:0009306|protein secretion;GO:0016020|membrane"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1810","LBJ_1420","VBILepBor13265_1810","PATRIC.355277.4.NC_008510.CDS.1684504.1686177.rev","PATRIC","CDS",1684504,1686177,1674,"-","FIG00002390","PLF_171_00000646","PGF_03810089","YP_800752.1",557,"gspE","General secretion pathway protein E","GO:0005524|ATP binding;GO:0005622|intracellular;GO:0006810|transport"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1811","LBJ_1421","VBILepBor13265_1811","PATRIC.355277.4.NC_008510.CDS.1686181.1687977.rev","PATRIC","CDS",1686181,1687977,1797,"-","FIG00001810","PLF_171_00001102","PGF_00007336","YP_800753.1",598,"gspD","General secretion pathway protein D","GO:0009306|protein secretion"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1812","LBJ_1422","VBILepBor13265_1812","PATRIC.355277.4.NC_008510.CDS.1687983.1688888.rev","PATRIC","CDS",1687983,1688888,906,"-","FIG00002534","PLF_171_00001266","PGF_00007322","YP_800754.1",301,"gspC","General secretion pathway protein C",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1813","LBJ_1423","VBILepBor13265_1813","PATRIC.355277.4.NC_008510.CDS.1688948.1689871.rev","PATRIC","CDS",1688948,1689871,924,"-","FIG00763910","PLF_171_00001050","PGF_00401092","YP_800755.1",307,,"membrane peptidase",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1814","LBJ_1424","VBILepBor13265_1814","PATRIC.355277.4.NC_008510.CDS.1689927.1690301.rev","PATRIC","CDS",1689927,1690301,375,"-","FIG00731883","PLF_171_00002338","PGF_00408304","YP_800756.1",124,,"putative lipoprotein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1817","LBJ_1426","VBILepBor13265_1817","PATRIC.355277.4.NC_008510.CDS.1691999.1692196.rev","PATRIC","CDS",1691999,1692196,198,"-","FIG00763043","PLF_171_00001917","PGF_00172028","YP_800757.1",65,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1818","LBJ_1427","VBILepBor13265_1818","PATRIC.355277.4.NC_008510.CDS.1692292.1692642.rev","PATRIC","CDS",1692292,1692642,351,"-","FIG00765565","PLF_171_00002585","PGF_02501663","YP_800758.1",116,,"UPF0102 protein YraN",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1819","LBJ_1428","VBILepBor13265_1819","PATRIC.355277.4.NC_008510.CDS.1692838.1694022.rev","PATRIC","CDS",1692838,1694022,1185,"-","FIG01309750","PLF_171_00001026","PGF_01491196","YP_800759.1",394,,"HD-GYP domain",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1820","LBJ_1429","VBILepBor13265_1820","PATRIC.355277.4.NC_008510.CDS.1694019.1694291.rev","PATRIC","CDS",1694019,1694291,273,"-","FIG00766466","PLF_171_00002635","PGF_00960894","YP_800760.1",90,,"Uncharacterized homolog of the cytoplasmic domain of flagellar protein FhlB",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1821","LBJ_1430","VBILepBor13265_1821","PATRIC.355277.4.NC_008510.CDS.1694292.1695041.rev","PATRIC","CDS",1694292,1695041,750,"-","FIG00764499","PLF_171_00002051","PGF_00338757","YP_800761.1",249,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1822","LBJ_1431","VBILepBor13265_1822","PATRIC.355277.4.NC_008510.CDS.1695137.1695808.rev","PATRIC","CDS",1695137,1695808,672,"-","FIG00000126","PLF_171_00000317","PGF_00048556","YP_800762.1",223,"rnhB","Ribonuclease HII (EC 3.1.26.4)","GO:0004523|ribonuclease H activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1823","LBJ_1432","VBILepBor13265_1823","PATRIC.355277.4.NC_008510.CDS.1695817.1696227.rev","PATRIC","CDS",1695817,1696227,411,"-","FIG00000214","PLF_171_00002351","PGF_04845029","YP_800763.1",136,"rplS","LSU ribosomal protein L19p","GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.162","LBJ_0138","VBILepBor13265_0162","PATRIC.355277.4.NC_008510.CDS.169598.170125.fwd","PATRIC","CDS",169598,170125,528,"+","FIG00138210","PLF_171_00000583","PGF_01761390","YP_799640.1",175,"nuoI","NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)","GO:0008137|NADH dehydrogenase (ubiquinone) activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1824","LBJ_1433","VBILepBor13265_1824","PATRIC.355277.4.NC_008510.CDS.1696224.1696892.rev","PATRIC","CDS",1696224,1696892,669,"-","FIG00000230","PLF_171_00002074","PGF_00413208","YP_800764.1",222,"trmD","tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228)","GO:0052906|tRNA (guanine(37)-N(1))-methyltransferase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1825","LBJ_1434","VBILepBor13265_1825","PATRIC.355277.4.NC_008510.CDS.1696882.1697382.rev","PATRIC","CDS",1696882,1697382,501,"-","FIG00000312","PLF_171_00002479","PGF_06000821","YP_800765.1",166,"rimM","16S rRNA processing protein RimM","GO:0006364|rRNA processing"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1826","LBJ_1435","VBILepBor13265_1826","PATRIC.355277.4.NC_008510.CDS.1697405.1697635.rev","PATRIC","CDS",1697405,1697635,231,"-","FIG00005628","PLF_171_00001658","PGF_04388239","YP_800766.1",76,,"KH domain RNA binding protein YlqC",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1827","LBJ_1436","VBILepBor13265_1827","PATRIC.355277.4.NC_008510.CDS.1697635.1697901.rev","PATRIC","CDS",1697635,1697901,267,"-","FIG00000193","PLF_171_00002663","PGF_00178044","YP_800767.1",88,"rpsP","SSU ribosomal protein S16p","GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1828","LBJ_1437","VBILepBor13265_1828","PATRIC.355277.4.NC_008510.CDS.1698128.1698775.rev","PATRIC","CDS",1698128,1698775,648,"-","FIG00000047","PLF_171_00001414","PGF_10245672","YP_800768.1",215,"rpe","Ribulose-phosphate 3-epimerase (EC 5.1.3.1)","GO:0004750|ribulose-phosphate 3-epimerase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1829","LBJ_1438","VBILepBor13265_1829","PATRIC.355277.4.NC_008510.CDS.1698772.1699767.rev","PATRIC","CDS",1698772,1699767,996,"-","FIG01419610","PLF_171_00002487","PGF_00051391","YP_800769.1",331,,"Serine/threonine kinase",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1830","LBJ_1439","VBILepBor13265_1830","PATRIC.355277.4.NC_008510.CDS.1699764.1700711.rev","PATRIC","CDS",1699764,1700711,948,"-","FIG00000112","PLF_171_00001068","PGF_05165078","YP_800770.1",315,"fmt","Methionyl-tRNA formyltransferase (EC 2.1.2.9)","GO:0004479|methionyl-tRNA formyltransferase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1831","LBJ_1440","VBILepBor13265_1831","PATRIC.355277.4.NC_008510.CDS.1700713.1702656.rev","PATRIC","CDS",1700713,1702656,1944,"-","FIG00080955","PLF_171_00000228","PGF_00011081","YP_800771.1",647,"priA","Helicase PriA essential for oriC/DnaA-independent DNA replication",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1832","LBJ_1441","VBILepBor13265_1832","PATRIC.355277.4.NC_008510.CDS.1702653.1703498.rev","PATRIC","CDS",1702653,1703498,846,"-","FIG00762999","PLF_171_00001534","PGF_00255839","YP_800772.1",281,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1833","LBJ_1442","VBILepBor13265_1833","PATRIC.355277.4.NC_008510.CDS.1703491.1704831.rev","PATRIC","CDS",1703491,1704831,1341,"-","FIG00826122","PLF_171_00000856","PGF_03084309","YP_800773.1",446,,"Two-component system response regulator protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1834","LBJ_1443","VBILepBor13265_1834","PATRIC.355277.4.NC_008510.CDS.1704838.1706586.rev","PATRIC","CDS",1704838,1706586,1749,"-","FIG00555741","PLF_171_00000375","PGF_00072256","YP_800774.1",582,,"histidine kinase sensor protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1835","LBJ_1444","VBILepBor13265_1835","PATRIC.355277.4.NC_008510.CDS.1706642.1706863.rev","PATRIC","CDS",1706642,1706863,222,"-","FIG00763894","PLF_171_00001939","PGF_08059713","YP_800775.1",73,"ptsH","Phosphocarrier protein, nitrogen regulation associated",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1836","LBJ_1445","VBILepBor13265_1836","PATRIC.355277.4.NC_008510.CDS.1706886.1707836.rev","PATRIC","CDS",1706886,1707836,951,"-","FIG00004170","PLF_171_00001348","PGF_04645019","YP_800776.1",316,"hprK","HPr kinase/phosphorylase",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1837","LBJ_1446","VBILepBor13265_1837","PATRIC.355277.4.NC_008510.CDS.1707846.1709267.rev","PATRIC","CDS",1707846,1709267,1422,"-","FIG00006092","PLF_171_00000627","PGF_00046403","YP_800777.1",473,"rpoN","RNA polymerase sigma-54 factor RpoN",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1838","LBJ_1447","VBILepBor13265_1838","PATRIC.355277.4.NC_008510.CDS.1709264.1709989.rev","PATRIC","CDS",1709264,1709989,726,"-","FIG00002720","PLF_171_00001225","PGF_00017190","YP_800778.1",241,,"Lipopolysaccharide ABC transporter, ATP-binding protein LptB",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1839","LBJ_1448","VBILepBor13265_1839","PATRIC.355277.4.NC_008510.CDS.1710001.1711371.rev","PATRIC","CDS",1710001,1711371,1371,"-","FIG00765445","PLF_171_00000983","PGF_00017652","YP_800779.1",456,,"Lipopolysaccharide export system protein LptA",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.163","LBJ_0139","VBILepBor13265_0163","PATRIC.355277.4.NC_008510.CDS.171004.171225.rev","PATRIC","CDS",171004,171225,222,"-",,"PLF_171_00002970","PGF_03065779","YP_799641.1",73,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1840","LBJ_1449","VBILepBor13265_1840","PATRIC.355277.4.NC_008510.CDS.1711368.1711946.rev","PATRIC","CDS",1711368,1711946,579,"-","FIG00765205","PLF_171_00002245","PGF_00017302","YP_800780.1",192,,"Lipopolysaccharide export system protein LptC",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1841","LBJ_1450","VBILepBor13265_1841","PATRIC.355277.4.NC_008510.CDS.1711958.1712821.rev","PATRIC","CDS",1711958,1712821,864,"-","FIG00000556","PLF_171_00000741","PGF_00039342","YP_800781.1",287,"kdsA","2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1842","LBJ_1451","VBILepBor13265_1842","PATRIC.355277.4.NC_008510.CDS.1712818.1714440.rev","PATRIC","CDS",1712818,1714440,1623,"-","FIG00000176","PLF_171_00000534","PGF_00416129","YP_800782.1",540,"pyrG","CTP synthase (EC 6.3.4.2)","GO:0003883|CTP synthase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1843","LBJ_1452","VBILepBor13265_1843","PATRIC.355277.4.NC_008510.CDS.1714542.1715018.rev","PATRIC","CDS",1714542,1715018,477,"-","FIG00014339","PLF_171_00001976","PGF_00013100","YP_800783.1",158,,"D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) / D-glycero-beta-D-manno-heptose-7-phosphate kinase (EC 2.7.1.167)",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1844","LBJ_1453","VBILepBor13265_1844","PATRIC.355277.4.NC_008510.CDS.1715021.1716034.rev","PATRIC","CDS",1715021,1716034,1014,"-","FIG00014339","PLF_171_00000233","PGF_00013100","YP_800784.1",337,,"D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) / D-glycero-beta-D-manno-heptose-7-phosphate kinase (EC 2.7.1.167)",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1845","LBJ_1454","VBILepBor13265_1845","PATRIC.355277.4.NC_008510.CDS.1716197.1716712.fwd","PATRIC","CDS",1716197,1716712,516,"+","FIG00763896","PLF_171_00001710","PGF_00020121","YP_800785.1",171,,"ATP-dependent protease-like La",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1846","LBJ_1455","VBILepBor13265_1846","PATRIC.355277.4.NC_008510.CDS.1716828.1717760.rev","PATRIC","CDS",1716828,1717760,933,"-","FIG00000517","PLF_171_00000820","PGF_06566462","YP_800786.1",310,,"Epoxyqueuosine reductase (EC 1.17.99.6) QueG",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.165","LBJ_0140","VBILepBor13265_0165","PATRIC.355277.4.NC_008510.CDS.171716.172324.rev","PATRIC","CDS",171716,172324,609,"-","FIG00001294","PLF_171_00004632","PGF_08828113","YP_799642.1",202,,"Adenylate cyclase (EC 4.6.1.1)","GO:0004016|adenylate cyclase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1847","LBJ_1456","VBILepBor13265_1847","PATRIC.355277.4.NC_008510.CDS.1717781.1718173.fwd","PATRIC","CDS",1717781,1718173,393,"+","FIG00766011","PLF_171_00002603","PGF_00172610","YP_800787.1",130,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1848","LBJ_1457","VBILepBor13265_1848","PATRIC.355277.4.NC_008510.CDS.1718218.1719135.rev","PATRIC","CDS",1718218,1719135,918,"-","FIG01542009","PLF_171_00001909","PGF_00328384","YP_800788.1",305,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1849","LBJ_1458","VBILepBor13265_1849","PATRIC.355277.4.NC_008510.CDS.1719145.1719903.rev","PATRIC","CDS",1719145,1719903,759,"-","FIG00000036","PLF_171_00001829","PGF_06629251","YP_800789.1",252,"map","Methionine aminopeptidase (EC 3.4.11.18)","GO:0004239|methionyl aminopeptidase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1850","LBJ_1459","VBILepBor13265_1850","PATRIC.355277.4.NC_008510.CDS.1719910.1720104.rev","PATRIC","CDS",1719910,1720104,195,"-","FIG00763055","PLF_171_00002172","PGF_00300618","YP_800790.1",64,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1851","LBJ_1460","VBILepBor13265_1851","PATRIC.355277.4.NC_008510.CDS.1720401.1723820.rev","PATRIC","CDS",1720401,1723820,3420,"-","FIG00764196","PLF_171_00063807","PGF_00797751","YP_800791.1",1139,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1853","LBJ_1461","VBILepBor13265_1853","PATRIC.355277.4.NC_008510.CDS.1724093.1724854.fwd","PATRIC","CDS",1724093,1724854,762,"+","FIG00515945","PLF_171_00000751","PGF_00021080","YP_800792.1",253,,"SAM-dependent methyltransferase",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.166","LBJ_0141","VBILepBor13265_0166","PATRIC.355277.4.NC_008510.CDS.172417.173595.rev","PATRIC","CDS",172417,173595,1179,"-","FIG00001294","PLF_171_00004632","PGF_08828113","YP_799643.1",392,,"Adenylate cyclase (EC 4.6.1.1)","GO:0004016|adenylate cyclase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1854","LBJ_1462","VBILepBor13265_1854","PATRIC.355277.4.NC_008510.CDS.1724925.1725221.fwd","PATRIC","CDS",1724925,1725221,297,"+","FIG00766223","PLF_171_00002617","PGF_00320564","YP_800793.1",98,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1855","LBJ_1463","VBILepBor13265_1855","PATRIC.355277.4.NC_008510.CDS.1725267.1726184.fwd","PATRIC","CDS",1725267,1726184,918,"+","FIG01956052","PLF_171_00001925","PGF_02759160","YP_800794.1",305,"gldA","Gliding motility-associated ABC transporter ATP-binding protein GldA",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1857","LBJ_1464","VBILepBor13265_1857","PATRIC.355277.4.NC_008510.CDS.1726432.1726941.fwd","PATRIC","CDS",1726432,1726941,510,"+","FIG00004542","PLF_171_00000481","PGF_06759389","YP_800795.1",169,"gldF","Gliding motility-associated ABC transporter permease protein GldF",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1858","LBJ_1465","VBILepBor13265_1858","PATRIC.355277.4.NC_008510.CDS.1726944.1728635.fwd","PATRIC","CDS",1726944,1728635,1692,"+","FIG00007843","PLF_171_00002002","PGF_02961303","YP_800796.1",563,"gldG","Gliding motility-associated ABC transporter substrate-binding protein GldG",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1859","LBJ_1466","VBILepBor13265_1859","PATRIC.355277.4.NC_008510.CDS.1728632.1729642.fwd","PATRIC","CDS",1728632,1729642,1011,"+","FIG00765196","PLF_171_00000608","PGF_00317028","YP_800797.1",336,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1861","LBJ_1467","VBILepBor13265_1861","PATRIC.355277.4.NC_008510.CDS.1729850.1730602.fwd","PATRIC","CDS",1729850,1730602,753,"+","FIG00763961","PLF_171_00001004","PGF_03761184","YP_800798.1",250,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1862","LBJ_1468","VBILepBor13265_1862","PATRIC.355277.4.NC_008510.CDS.1730636.1731433.rev","PATRIC","CDS",1730636,1731433,798,"-","FIG00767024","PLF_171_00002305","PGF_00130355","YP_800799.1",265,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1863","LBJ_1469","VBILepBor13265_1863","PATRIC.355277.4.NC_008510.CDS.1731536.1732771.fwd","PATRIC","CDS",1731536,1732771,1236,"+","FIG00763676","PLF_171_00001528","PGF_00392908","YP_800800.1",411,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1864","LBJ_1470","VBILepBor13265_1864","PATRIC.355277.4.NC_008510.CDS.1732771.1733235.fwd","PATRIC","CDS",1732771,1733235,465,"+","FIG00102933","PLF_171_00001300","PGF_00417522","YP_800801.1",154,"cheX","Chemotaxis protein CheX",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1865","LBJ_1471","VBILepBor13265_1865","PATRIC.355277.4.NC_008510.CDS.1733540.1734559.rev","PATRIC","CDS",1733540,1734559,1020,"-","FIG00767552","PLF_171_00001376","PGF_00077233","YP_800802.1",339,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1866","LBJ_1472","VBILepBor13265_1866","PATRIC.355277.4.NC_008510.CDS.1734556.1735161.rev","PATRIC","CDS",1734556,1735161,606,"-","FIG00765647","PLF_171_00002012","PGF_00213203","YP_800803.1",201,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1868","LBJ_1473","VBILepBor13265_1868","PATRIC.355277.4.NC_008510.CDS.1736074.1737168.fwd","PATRIC","CDS",1736074,1737168,1095,"+","FIG01306568","PLF_171_00000006","PGF_01000105","YP_800804.1",364,,"Mobile element protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1869","LBJ_1474","VBILepBor13265_1869","PATRIC.355277.4.NC_008510.CDS.1737818.1739248.fwd","PATRIC","CDS",1737818,1739248,1431,"+","FIG00103126","PLF_171_00004508","PGF_00420358","YP_800805.1",476,"ccoN","Cytochrome c oxidase (cbb3-type) subunit CcoN (EC 1.9.3.1)","GO:0004129|cytochrome-c oxidase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.167","LBJ_0142","VBILepBor13265_0167","PATRIC.355277.4.NC_008510.CDS.173890.174159.fwd","PATRIC","CDS",173890,174159,270,"+","FIG00638284","PLF_171_00018350","PGF_02103954","YP_799644.1",89,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1870","LBJ_1475","VBILepBor13265_1870","PATRIC.355277.4.NC_008510.CDS.1739245.1739934.fwd","PATRIC","CDS",1739245,1739934,690,"+","FIG00001108","PLF_171_00004616","PGF_00420363","YP_800806.1",229,"ccoO","Cytochrome c oxidase (cbb3-type) subunit CcoO (EC 1.9.3.1)","GO:0004129|cytochrome-c oxidase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1871","LBJ_1476","VBILepBor13265_1871","PATRIC.355277.4.NC_008510.CDS.1739945.1740091.fwd","PATRIC","CDS",1739945,1740091,147,"+","FIG00764243","PLF_171_00004985","PGF_02132225","YP_800807.1",48,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1872","LBJ_1477","VBILepBor13265_1872","PATRIC.355277.4.NC_008510.CDS.1740095.1740628.fwd","PATRIC","CDS",1740095,1740628,534,"+","FIG00001139","PLF_171_00004634","PGF_03815442","YP_800808.1",177,"cccA","Cytochrome c oxidase (cbb3-type) subunit CcoP (EC 1.9.3.1)","GO:0004129|cytochrome-c oxidase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1873","LBJ_1478","VBILepBor13265_1873","PATRIC.355277.4.NC_008510.CDS.1740636.1741976.fwd","PATRIC","CDS",1740636,1741976,1341,"+","FIG00138562","PLF_171_00004711","PGF_06992864","YP_800809.1",446,"napH","Type cbb3 cytochrome oxidase biogenesis protein CcoG, involved in Cu oxidation","GO:0005506|iron ion binding;GO:0006118|electron transport;GO:0009055|electron carrier activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1874","LBJ_1479","VBILepBor13265_1874","PATRIC.355277.4.NC_008510.CDS.1741988.1742476.fwd","PATRIC","CDS",1741988,1742476,489,"+","FIG00002221","PLF_171_00004806","PGF_00226201","YP_800810.1",162,,"hypothetical protein",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1875","LBJ_1480","VBILepBor13265_1875","PATRIC.355277.4.NC_008510.CDS.1742485.1744926.fwd","PATRIC","CDS",1742485,1744926,2442,"+","FIG01307023","PLF_171_00004712","PGF_03364965","YP_800811.1",813,"atzN","Type cbb3 cytochrome oxidase biogenesis protein CcoI; Copper-translocating P-type ATPase (EC 3.6.3.4)","GO:0004008|copper-exporting ATPase activity"
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1876","LBJ_1481","VBILepBor13265_1876","PATRIC.355277.4.NC_008510.CDS.1744956.1745096.fwd","PATRIC","CDS",1744956,1745096,141,"+","FIG00014915","PLF_171_00004778","PGF_09540490","YP_800812.1",46,,"Type cbb3 cytochrome oxidase biogenesis protein CcoS, involved in heme b insertion",
"Leptospira borgpetersenii serovar Hardjo-bovis str. JB197","355277.4","NC_008510","fig|355277.4.peg.1877","LBJ_1482","VBILepBor13265_1877","PATRIC.355277.4.NC_008510.CDS.1745086.1745832.fwd","PATRIC","CDS",1745086,1745832,747,"+","FIG01956328","PLF_171_00005226","PGF_00299322","YP_800813.1",248,,"hypothetical protein",
