Systemic ID,Base mean DMC,Base mean IV,Fold Change,P-adjusted,Chromosome,Strand,Start,End,Gene Length,Gene Name,Product
LIC11973,59.64,44.22,1.35,0.734680948,1,+,2377490,2378827,445,tetA,tetracycline resistance protein
LIC11371,59.58,44.51,1.34,0.758943963,1,+,1688165,1688986,273,fliO,hypothetical protein
LIC10239,59.52,38.14,1.56,0.410960108,1,+,275653,276423,256,-,hypothetical protein
LIC20102,59.39,124.68,0.48,0.054286492,2,+,118019,119245,408,traB,pheromone shutdown protein
LIC20025,59.35,24.62,2.41,0.047271577,2,+,25023,25382,119,-,cyclic nucleotide binding protein
LIC10206,59.34,61.66,0.96,0.87195047,1,+,235975,236178,67,-,hypothetical protein
LIC10158,59.29,81.65,0.73,0.744033226,1,+,187325,188035,236,-,hypothetical protein
LIC12490,59.18,88.36,0.67,0.563022521,1,-,3016639,3017259,206,-,RNA polymerase ECF-type sigma factor
LIC11394,59.16,48.97,1.21,0.751021051,1,+,1712314,1713237,307,fliH,flagellar assembly protein H
LIC10993,59.11,63.75,0.93,1,1,+,1207792,1210404,870,kdpD,histidine kinase sensor protein
LIC10079,58.98,39.62,1.49,0.634046274,1,-,97126,97659,177,-,hypothetical protein
LIC11952,58.94,61.03,0.97,0.993193386,1,-,2359936,2360436,166,-,hypothetical protein
LIC10690,58.93,74.65,0.79,0.848117213,1,+,834942,837164,740,-,hypothetical protein
LIC12569,58.90,68.74,0.86,0.893918946,1,-,3114656,3116551,631,-,hypothetical protein
LIC10868,58.87,40.24,1.46,0.822017048,1,+,1046489,1047883,464,-,hypothetical protein
LIC10251,58.63,18.19,3.22,0.004053578,1,-,285742,288057,771,-,Rad50-like protein
LIC11850,58.62,24.36,2.41,0.008142675,1,+,2244055,2244828,257,-,16S ribosomal RNA methyltransferase RsmE
LIC11402,58.59,65.02,0.90,0.941721053,1,-,1722708,1724813,701,feoB,ferrous iron transport protein b
LIC12536,58.42,85.65,0.68,0.728997884,1,-,3074366,3075766,466,ribD,hypothetical protein
LIC12957,58.35,53.06,1.10,0.848117213,1,-,3589319,3590479,386,-,hypothetical protein
LIC11780,58.35,92.74,0.63,0.46161212,1,-,2171924,2173054,376,bioF,8-amino-7-oxononanoate synthase
LIC20303,58.32,42.83,1.36,0.662101431,2,+,294542,294742,66,-,hypothetical protein
LIC11276,58.23,77.79,0.75,0.767325049,1,+,1575657,1576454,265,-,fatty acyltransferase
LIC10678,58.19,52.85,1.10,0.907471287,1,+,822285,823418,377,-,response regulator
LIC11794,58.15,62.85,0.93,1,1,+,2187301,2188722,473,-,alginate O-acetyltransferase protein
LIC12035,58.05,35.54,1.63,0.397235039,1,+,2456309,2457172,287,flhO,hook protein
LIC12864,57.89,69.42,0.83,0.906979471,1,-,3464393,3464662,89,rpsQ,30S ribosomal protein S17
LIC11444,57.85,77.29,0.75,0.719164003,1,+,1780063,1781055,330,-,response regulator
LIC13328,57.80,69.80,0.83,0.785396286,1,+,4083538,4085004,488,-,isocitrate dehydrogenase
LIC12320,57.77,49.82,1.16,0.912951202,1,-,2798006,2798776,256,-,3-oxoacyl-[acyl-carrier protein] reductase
LIC11928,57.73,66.57,0.87,0.959432864,1,-,2331150,2332652,500,-,FAD-binding oxidoreductase
LIC12246,57.61,74.61,0.77,0.636507589,1,-,2709428,2710321,297,miaA,tRNA delta(2)-isopentenylpyrophosphate transferase
LIC12759,57.61,31.33,1.84,0.523223731,1,-,3356953,3358224,423,-,hypothetical protein
LIC12102,57.58,57.45,1.00,0.973816149,1,-,2542518,2544308,596,argS,arginyl-tRNA synthetase
LIC10023,57.56,31.34,1.84,0.111824784,1,+,28185,29198,337,fliG,flagellar motor switch protein G
LIC12181,57.51,46.96,1.22,0.974334276,1,-,2634690,2635118,142,-,hypothetical protein
LIC10317,57.38,35.50,1.62,0.446557902,1,+,361249,361686,145,rpiB,ribose 5-phosphate isomerase B
LIC11266,57.35,44.85,1.28,0.645820574,1,+,1563574,1563984,136,-,6-pyruvoyl tetrahydrobiopterin synthase
LIC10475,57.23,84.51,0.68,0.758832032,1,-,550361,550621,86,-,RNA-binding protein
LIC11710,57.20,55.43,1.03,0.953945329,1,-,2079062,2081593,843,mgtB,ATPase P
LIC11046,57.20,64.30,0.89,0.836965101,1,+,1286646,1287848,400,-,hypothetical protein
LIC12591,57.18,52.25,1.09,0.936615403,1,+,3138750,3141404,884,pepN,aminopeptidase N
LIC13153,57.16,50.14,1.14,0.848117213,1,-,3865744,3866715,323,-,UDP-glucose 4-epimerase
LIC11393,57.14,43.62,1.31,0.612680964,1,+,1711339,1712310,323,-,hypothetical protein
LIC10245,57.06,44.57,1.28,0.740239958,1,-,280557,282458,633,-,adenylate/guanylate cyclase
LIC13096,57.04,36.95,1.54,0.473738362,1,+,3786601,3786675,75,tRNA-Pro-TGG,Pro tRNA
LIC11435,56.82,39.55,1.44,0.612680964,1,-,1766290,1767414,374,-,hypothetical protein
LIC11668,56.66,44.86,1.26,0.777490411,1,-,2030366,2031646,426,-,hypothetical protein
LIC11221,56.61,106.25,0.53,0.206772744,1,+,1506718,1510293,"1,191",-,histidine kinase sensor protein
LIC13168,56.48,74.65,0.76,0.836965101,1,-,3878864,3879886,340,gmd,"GDP-mannose 4,6-dehydratase"
LIC11064,56.36,42.27,1.33,0.719164003,1,-,1314005,1315021,338,-,membrane associated metalloendopeptidase
LIC13143,56.15,34.59,1.62,0.385290749,1,-,3852654,3853988,444,tlyC,hemolysin
LIC10144,56.15,71.64,0.78,0.844358791,1,+,173425,173949,174,-,RNA polymerase ECF-type sigma factor
LIC10301,56.13,36.75,1.53,0.204984625,1,+,342722,343063,113,-,lipoprotein
LIC12676,56.11,115.48,0.49,0.024231496,1,+,3239403,3241376,657,-,hypothetical protein
LIC10142,56.10,54.77,1.02,1,1,+,171882,172409,175,nuoI,NADH dehydrogenase II subunit
LIC12189,56.04,43.77,1.28,0.848117213,1,-,2642892,2643419,175,-,hypothetical protein
LIC12724,55.96,36.16,1.55,0.382676152,1,+,3316322,3316849,175,-,hypothetical protein
LIC12184,55.95,31.80,1.76,0.461480152,1,-,2638448,2638963,171,-,acetyl transferase
LIC11483,55.95,69.74,0.80,0.793546264,1,-,1830772,1832490,572,-,hypothetical protein
LIC20011,55.93,136.74,0.41,0.014931806,2,+,9785,11116,443,hemL,glutamate-1-semialdehyde aminotransferase
LIC12167,55.65,58.75,0.95,0.987027574,1,-,2618427,2619056,209,-,CMP-N-acetlyneuraminic acid synthetase
LIC11602,55.63,76.09,0.73,0.704295306,1,+,1962812,1964317,501,-,hypothetical protein
LIC12078,55.61,55.69,1.00,0.969234872,1,+,2514227,2515804,525,-,hypothetical protein
LIC12787,55.56,46.46,1.20,0.878048573,1,-,3392721,3393053,110,-,anti-sigma factor antagonist
LIC13412,55.51,54.43,1.02,1,1,+,4183043,4185472,809,plsB,glycerol-3-phosphate acyltransferase
LIC12392,55.50,65.21,0.85,0.907854507,1,-,2898330,2899832,500,nylA,6-aminohexanoate-cyclic-dimer hydrolase
LIC10429,55.38,54.00,1.03,0.848117213,1,+,489767,490705,312,prs,ribose-phosphate pyrophosphokinase
LIC11280,55.29,72.60,0.76,0.589645388,1,+,1579160,1580872,570,prfC,peptide chain release factor 3
LIC11652,55.23,56.66,0.97,0.985177549,1,-,2017973,2018617,214,tal,translaldolase
LIC11167,55.21,24.62,2.24,0.02034973,1,+,1436055,1437209,384,-,lipoprotein
LIC11070,55.19,40.67,1.36,0.636507589,1,-,1322318,1323484,388,-,alcohol dehydrogenase
LIC13147,55.18,54.76,1.01,0.977157254,1,+,3858733,3859734,333,-,hypothetical protein
LIC12149,55.16,42.66,1.29,0.789961851,1,-,2598646,2599608,320,galE,UDP-glucose 4-epimerase
LIC11132,55.13,55.65,0.99,1,1,-,1397604,1399031,475,pykA,pyruvate kinase
LIC20002,55.11,93.84,0.59,0.658695925,2,+,2491,3423,310,metF,"5,10 methylene tetrahydrofolate reductase"
LIC12925,55.10,60.28,0.91,1,1,+,3552803,3554083,426,-,citrate synthase
LIC10587,55.06,32.95,1.67,0.440458554,1,-,714312,715418,368,-,glycosyl transferase
LIC20144,55.05,82.89,0.66,0.617430837,2,+,171878,173461,527,-,HtrA1-like protein
LIC10472,55.04,34.89,1.58,0.388336219,1,-,544669,545949,426,purD,phosphoribosylamine--glycine ligase
LIC10909,54.97,29.11,1.89,0.235635362,1,-,1092721,1093137,138,-,hypothetical protein
LIC12958,54.96,54.03,1.02,0.998042048,1,-,3590486,3590767,93,-,hypothetical protein
LIC12708,54.96,81.44,0.67,0.539932184,1,+,3294811,3295989,392,-,hypothetical protein
LIC11533,54.91,63.33,0.87,0.933770306,1,+,1895975,1896286,103,-,hypothetical protein
LIC2nc40,54.85,23.52,2.33,0.080134126,2,NA,348946,349168,223,,
LIC12922,54.78,47.90,1.14,0.959432864,1,+,3547209,3548297,362,-,hypothetical protein
LIC13263,54.76,44.33,1.24,0.725572053,1,+,4001129,4002295,388,rnD,ribonuclease D
LIC12249,54.75,31.66,1.73,0.457536121,1,-,2711897,2712916,339,-,hypothetical protein
LIC11091,54.75,57.12,0.96,0.987153345,1,-,1346432,1346917,161,-,hypothetical protein
LIC11920,54.72,30.28,1.81,0.413555856,1,+,2317742,2318911,389,-,hypothetical protein
LIC11325,54.66,34.91,1.57,0.366457018,1,+,1636084,1636974,296,flgA,flagella basal body P-ring formation protein precursor
LIC12775,54.62,64.83,0.84,0.946952964,1,-,3380913,3381239,108,-,hypothetical protein
LIC13391,54.62,25.44,2.15,0.220032027,1,+,4155223,4155459,78,-,hypothetical protein
LIC11150,54.62,47.10,1.16,0.777794143,1,+,1418897,1419709,270,-,nonspecific acid phosphatase precursor
LIC20100,54.58,70.55,0.77,0.785396286,2,-,116484,117335,283,-,hypothetical protein
LIC11869,54.41,33.13,1.64,0.342575795,1,-,2264363,2265367,334,mraW,S-adenosyl-methyltransferase
LIC10528,54.41,22.08,2.46,0.019939662,1,+,637791,639599,602,pbpB,Pbp3
LIC11154,54.37,40.22,1.35,0.777490411,1,+,1423318,1423929,203,-,transcriptional regulator
LIC11375,54.36,46.89,1.16,0.846137378,1,+,1690856,1692805,649,flhB,flagellar biosynthesis protein FlhB
LIC10454,54.26,18.96,2.86,0.045331356,1,-,517537,518316,259,-,hypothetical protein
LIC11594,54.17,45.10,1.20,0.848117213,1,+,1953230,1953871,213,-,hypothetical protein
LIC11050,54.15,73.24,0.74,0.779551377,1,+,1291814,1293163,449,ank3,ankyrin
LIC12141,54.06,54.58,0.99,1,1,-,2587626,2588660,344,-,UDP-glucose 4-epimerase
LIC12100,54.01,42.32,1.28,0.668162315,1,-,2540186,2541265,359,-,hypothetical protein
LIC11691,53.97,50.34,1.07,0.942729818,1,-,2054053,2055561,502,mcp-2,methyl-accepting chemotaxis protein
LIC12796,53.97,46.01,1.17,0.853291088,1,-,3403660,3404520,286,-,hypothetical protein
LIC10140,53.88,65.93,0.82,0.895475524,1,+,168502,169644,380,aroC,chorismate synthase
LIC10241,53.79,24.58,2.19,0.151957875,1,+,277184,277879,231,-,hypothetical protein
LIC11312,53.77,52.71,1.02,0.956051834,1,+,1619480,1620511,343,rfaC2,lipopolysaccharide heptosyltransferase II
LIC11591,53.73,73.70,0.73,0.728997884,1,-,1950228,1951496,422,xseA,exodeoxyribonuclease VII large subunit
LIC20047,53.71,79.55,0.68,0.688288083,2,+,48178,49776,532,-,hypothetical protein
LIC20143,53.58,96.93,0.55,0.388336219,2,+,170349,171863,504,htrA1,HtrA1
LIC11702,53.54,106.29,0.50,0.299360398,1,-,2069283,2071079,598,dnaG,DNA primase
LIC12153,53.47,45.07,1.19,0.869687684,1,-,2603811,2604809,332,-,D-3-phosphoglycerate dehydrogenase
LIC11577,53.44,60.80,0.88,0.969266305,1,+,1936842,1938017,391,-,type II secretion pathway related protein etpK-like protein
LIC10623,53.38,35.36,1.51,0.457536121,1,+,761189,762016,275,motB,flagellar motor protein MotB
LIC20031,53.38,60.59,0.88,0.968061751,2,+,30234,31058,274,-,short-chain dehydrogenase
LIC10115,53.25,58.08,0.92,1,1,+,132061,133275,404,-,hypothetical protein
LIC11313,53.18,52.36,1.02,0.907891248,1,+,1620508,1621797,429,pepP,aminopeptidase P
LIC10572,53.12,57.87,0.92,0.879673026,1,+,697215,697826,203,-,hypothetical protein
LIC20185,53.06,41.05,1.29,0.874540274,2,-,235359,236060,233,-,hypothetical protein
LIC10128,53.05,76.68,0.69,0.577097006,1,+,153042,153389,115,-,hypothetical protein
LIC13152,53.02,28.69,1.85,0.322164829,1,+,3865009,3865743,244,dac,D-alanyl-D-alanine carboxypeptidase
LIC10165,52.91,57.70,0.92,0.844358791,1,-,196365,196787,140,-,hypothetical protein
LIC13480,52.87,48.32,1.09,0.90318972,1,-,4255880,4257133,417,serS,seryl-tRNA synthetase
LIC12648,52.75,20.79,2.54,0.086450117,1,-,3210464,3211033,189,btuE,glutathione peroxidase
LIC20032,52.61,38.00,1.38,0.648614759,2,+,31068,31490,140,-,hypothetical protein
LIC11897,52.53,60.43,0.87,0.939594161,1,+,2294415,2295398,327,acoA,pyruvate dehydrogenase alpha2 subunit protein
LIC12934,52.52,73.42,0.72,0.417673953,1,-,3565357,3566349,330,manA,mannose-6-phosphate isomerase
LIC11694,52.49,3.53,14.85,2.26E-13,1,+,2058318,2060726,802,-,TonB-dependent outer membrane receptor
LIC11350,52.39,49.85,1.05,0.996409467,1,-,1663262,1665022,586,-,acyl-CoA dehydrogenase
LIC20133,52.29,54.19,0.96,1,2,-,156553,157302,249,-,ferredoxin-like protein
LIC12263,52.26,19.58,2.67,0.008811801,1,-,2733833,2734828,331,-,hypothetical protein
LIC12438,52.26,38.60,1.35,0.836965101,1,+,2958782,2959333,183,-,transcriptional regulator
LIC11517,52.23,104.20,0.50,0.21450995,1,+,1874272,1875939,555,accA2,acetyl-CoA carboxylase subunit alpha
LIC11823,52.16,52.78,0.99,0.889888375,1,-,2217701,2219164,487,-,hypothetical protein
LIC11629,52.12,58.08,0.90,1,1,+,1994379,1994876,165,dsbA,thiol:disulfide interchange protein
LIC10602,51.99,72.22,0.72,0.583881669,1,-,734918,735847,309,pldB,lysophospholipase
LIC20115,51.98,76.03,0.68,0.443618101,2,-,137601,138122,173,-,RNA polymerase ECF-type sigma factor
LIC12504,51.97,24.17,2.15,0.204984625,1,-,3032482,3032871,129,-,response regulator
LIC11568,51.94,45.42,1.14,0.818603943,1,+,1927746,1928756,336,-,membrane peptidase
LIC20015,51.78,92.19,0.56,0.34148676,2,+,13749,15080,443,hemN,coproporphyrinogen III oxidase
LIC11189,51.62,28.36,1.82,0.21450995,1,+,1464048,1466030,660,-,hypothetical protein
LIC11006,51.51,41.53,1.24,0.822017048,1,-,1224172,1224654,160,-,Fur family transcriptional regulator
LIC10063,51.38,38.71,1.33,0.525199231,1,+,79879,83085,"1,068",-,histidine kinase sensor protein
LIC11836,51.37,43.30,1.19,0.806167735,1,-,2231806,2232831,341,fliM,flagellar motor switch protein FliM
LIC10074,51.22,78.92,0.65,0.645820574,1,+,92703,93548,281,dapF,diaminopimelate epimerase
LIC20191,51.15,79.73,0.64,0.407936223,2,-,243091,245055,654,-,hypothetical protein
LIC12618,51.07,60.14,0.85,0.859756555,1,-,3167254,3168522,422,lysA,diaminopimelate decarboxylase
LIC10428,50.88,80.95,0.63,0.634725516,1,+,489012,489770,252,glmU,UDP-N-acetylglucosamine pyrophosphorylase
LIC11382,50.87,32.26,1.58,0.658441543,1,+,1700635,1700988,117,-,hypothetical protein
LIC11950,50.79,50.77,1.00,1,1,-,2358962,2359318,118,-,hypothetical protein
LIC11433,50.71,42.32,1.20,0.846380331,1,+,1762262,1763731,489,-,histidine kinase sensor protein
LIC12725,50.67,43.08,1.18,0.728997884,1,+,3316849,3317649,266,-,3-hydroxybutyryl-CoA dehydratase
LIC11075,50.66,34.10,1.49,0.6209083,1,-,1327258,1329186,642,nadE,NH(3)-dependent NAD(+) synthetase
LIC11523,50.55,44.98,1.12,0.935400146,1,-,1881579,1884509,976,mcp,chemotaxis protein
LIC12157,50.52,51.14,0.99,0.919383283,1,-,2607840,2608595,251,-,3-deoxy-manno-octulosonate cytidylyltransferase
LIC13442,50.35,17.38,2.90,0.054286492,1,-,4218825,4219322,165,gpo,glutathione peroxidase
LIC10561,50.34,32.75,1.54,0.637005873,1,+,686735,687625,296,-,hypothetical protein
LIC10582,50.32,59.78,0.84,0.996409467,1,-,707696,709117,473,trpE,anthranilate synthase component I
LIC13414,50.20,23.73,2.12,0.097872161,1,-,4187830,4188873,347,-,hypothetical protein
LIC11774,50.15,48.36,1.04,0.910253321,1,+,2164144,2166690,848,mutS,DNA mismatch repair protein MutS
LIC13331,50.11,60.24,0.83,0.848117213,1,-,4086571,4088130,519,-,histidine kinase sensor protein
LIC20094,50.10,71.94,0.70,0.740239958,2,+,109614,111380,588,-,adenylate/guanylate cyclase
LIC12984,50.08,51.21,0.98,0.728997884,1,-,3622708,3623001,97,-,hypothetical protein
LIC13257,50.06,68.78,0.73,0.58679892,1,-,3994570,3995592,340,-,NADH oxidoreductase
LIC11327,50.04,30.87,1.62,0.485079469,1,+,1637969,1639069,366,flgI,flagellar basal body P-ring protein
LIC10519,50.02,83.85,0.60,0.339036709,1,+,624912,627449,845,-,hypothetical protein
LIC12321,49.95,34.98,1.43,0.56176024,1,-,2799131,2799994,287,-,hypothetical protein
LIC13371,49.90,56.63,0.88,0.858580296,1,-,4133958,4134875,305,cysD,sulfate adenylyltransferase subunit 2
LIC10766,49.87,62.49,0.80,0.740239958,1,-,931865,932299,144,-,hypothetical protein
LIC10532,49.81,30.40,1.64,0.327928442,1,-,644712,646592,626,-,ABC transporter ATP-binding protein
LIC20131,49.80,49.42,1.01,0.939594161,2,-,154778,155449,223,cobH,precorrin isomerase
LIC12074,49.77,43.62,1.14,0.959432864,1,+,2511945,2512295,116,panD,aspartate alpha-decarboxylase
LIC20124,49.67,36.36,1.37,0.562147754,2,-,147476,148840,454,cobB,"cobyrinic acid a,c-diamide synthase"
LIC10012,49.63,34.97,1.42,0.620373268,1,+,15855,17462,535,-,hypothetical protein
LIC11768,49.61,51.06,0.97,0.959432864,1,+,2160509,2161585,358,leuB,3-isopropylmalate dehydrogenase
LIC13176,49.60,31.20,1.59,0.443338548,1,-,3888014,3889081,355,tas,hypothetical protein
LIC12645,49.58,45.56,1.09,0.972872065,1,-,3204530,3206089,519,-,hypothetical protein
LIC12851,49.48,64.81,0.76,0.850960517,1,-,3458077,3458295,72,infA,translation initiation factor IF-1
LIC11663,49.46,76.05,0.65,0.538486229,1,+,2025936,2027081,381,dgt,deoxyguanosinetriphosphate triphosphohydrolase
LIC20092,49.43,59.08,0.84,0.902234546,2,-,106836,108578,580,-,hypothetical protein
LIC20043,49.41,48.25,1.02,1,2,+,43426,45069,547,batD,BatD
LIC10622,49.31,39.63,1.24,0.704295306,1,+,760391,761173,260,motA,motility protein A
LIC11736,49.21,36.40,1.35,0.734680948,1,-,2114536,2115723,395,-,hypothetical protein
LIC12142,49.20,27.06,1.82,0.327928442,1,-,2589178,2590323,381,-,glycosyl transferase
LIC12350,49.17,76.47,0.64,0.422395831,1,+,2844717,2846111,464,glyS,glycyl-tRNA synthetase
LIC11867,48.90,31.13,1.57,0.508945176,1,-,2262505,2264025,506,murE,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase"
LIC10001,48.89,23.06,2.12,0.106881298,1,+,292,1623,443,dnaA,chromosomal replication initiator protein
LIC10968,48.87,14.21,3.44,0.002810248,1,-,1166708,1167784,358,-,lipoprotein
LIC11800,48.74,59.74,0.82,0.900998715,1,-,2193789,2194745,318,-,hypothetical protein
LIC20021,48.74,37.20,1.31,0.893918946,2,+,21752,22459,235,-,hypothetical protein
LIC13282,48.68,67.84,0.72,0.700782792,1,-,4024999,4027044,681,lig,NAD dependent DNA ligase
LIC10848,48.64,63.83,0.76,0.706383573,1,+,1025836,1026213,125,-,hypothetical protein
LIC20196,48.62,33.36,1.46,0.699521704,2,+,249924,250442,172,-,hypothetical protein
LIC13145,48.53,42.31,1.15,0.959236409,1,-,3856799,3857806,335,gpsA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
LIC11979,48.39,41.27,1.17,0.834895048,1,-,2384769,2385578,269,-,hypothetical protein
LIC20098,48.36,72.79,0.66,0.440458554,2,-,114933,115832,299,-,phage-related integrase/recombinase
LIC13281,48.29,53.84,0.90,0.956051834,1,-,4022356,4023960,534,-,acyl-CoA dehydrogenase
LIC11898,48.25,45.64,1.06,0.968061751,1,+,2295398,2296372,324,acoB,pyruvate dehydrogenase subunit beta
LIC10845,48.20,53.44,0.90,0.977157254,1,+,1024170,1025225,351,-,hypothetical protein
LIC12751,48.18,43.20,1.12,0.736293111,1,+,3347081,3348769,562,nuoM,NADH dehydrogenase I subunit M
LIC20273,48.18,56.03,0.86,0.978723091,2,-,345602,346972,456,-,putative transcriptional regulator
LIC10773,48.09,59.22,0.81,0.8974382,1,+,938916,940325,469,-,hypothetical protein
LIC12810,48.07,78.01,0.62,0.400999543,1,-,3415314,3416231,305,-,hypothetical protein
LIC20275,48.06,33.47,1.44,0.757837736,2,+,347953,348798,281,-,hypothetical protein
LIC11662,47.99,67.85,0.71,0.746773558,1,-,2025207,2025812,201,-,hypothetical protein
LIC20088,47.98,43.37,1.11,1,2,+,100789,102084,431,pfp,diphosphate--fructose-6-phosphate 1-phosphotransferase
LIC13224,47.93,24.04,1.99,0.277102645,1,-,3957426,3958757,443,glpT,glycerol-3-phosphate Pi antiporter
LIC13136,47.89,46.70,1.03,0.977157254,1,+,3845185,3846972,595,acd,acyl-CoA dehydrogenase
LIC10105,47.79,27.08,1.76,0.315841494,1,-,125107,126129,340,-,hypothetical protein
LIC20212,47.75,44.87,1.06,0.987027574,2,+,272715,273404,229,-,hypothetical protein
LIC12971,47.71,53.42,0.89,0.974886803,1,-,3608865,3609614,249,ftsQ,hypothetical protein
LIC20217,47.64,43.94,1.08,0.980707913,2,+,277821,278225,134,exbD,hypothetical protein
LIC20016,47.62,54.69,0.87,0.754909097,2,+,15160,16143,327,-,hypothetical protein
LIC12896,47.44,38.77,1.22,0.813449227,1,-,3498112,3507534,"3,140",-,hypothetical protein
LIC12445,47.37,60.30,0.79,0.848117213,1,-,2963090,2963710,206,hisG,ATP phosphoribosyltransferase catalytic subunit
LIC20238,47.17,154.49,0.31,0.00119036,2,-,301783,302649,288,speH,S-adenosylmethionine decarboxylase like protein
LIC10583,47.11,84.63,0.56,0.346793468,1,-,709204,710517,437,-,acyl-CoA dehydrogenase
LIC10715,47.05,36.72,1.28,0.953945329,1,+,866582,868984,800,-,thermolysin
LIC10270,46.94,39.53,1.19,0.887866199,1,-,306749,307999,416,-,chlorohydrolase
LIC12295,46.89,88.14,0.53,0.174116391,1,-,2769716,2771014,432,-,ABC transporter ATP-binding protein
LIC10150,46.89,34.30,1.37,0.627301294,1,+,179798,181051,417,avtA,valine--pyruvate transaminase
LIC11975,46.88,66.54,0.70,0.629969571,1,-,2379952,2381034,360,-,outer membrane protein
LIC11390,46.86,30.57,1.53,0.688744682,1,-,1706442,1707008,188,fliJ,hypothetical protein
LIC10846,46.84,53.53,0.88,0.919383283,1,+,1025222,1025602,126,acps,ACP synthase
LIC10451,46.80,25.57,1.83,0.330688205,1,+,513874,514665,263,-,hypothetical protein
LIC10268,46.75,50.83,0.92,0.993284244,1,-,305018,305683,221,-,cyclic nucleotide binding protein
LIC11837,46.74,25.44,1.84,0.214295025,1,-,2232828,2233805,325,-,hypothetical protein
LIC20121,46.64,46.21,1.01,0.894788811,2,-,143645,146236,863,cbiP,histidinol-phosphate aminotransferase and cobyric acid synthase
LIC12101,46.60,48.56,0.96,0.982949342,1,-,2541262,2542518,418,-,hypothetical protein
LIC10425,46.58,41.57,1.12,0.922789027,1,+,486553,487497,314,-,hypothetical protein
LIC13491,46.49,34.33,1.35,0.728997884,1,-,4266394,4267842,482,-,metallopeptidase
LIC10985,46.41,34.11,1.36,0.731617711,1,+,1191213,1192274,353,-,hypothetical protein
LIC10075,46.41,41.08,1.13,0.822870799,1,-,93555,94265,236,-,hypothetical protein
LIC11308,46.39,30.37,1.53,0.391722227,1,-,1615359,1616471,370,-,acetylglutamate kinase
LIC12333,46.39,36.15,1.28,0.731617711,1,+,2816692,2817714,340,-,hypothetical protein
LIC11510,46.35,80.83,0.57,0.277220311,1,-,1865972,1869214,"1,080",-,heavy metal efflux pump
LIC13150,46.33,48.85,0.95,0.996409467,1,+,3860811,3862985,724,-,ATP-dependent DNA helicase RecG
LIC11550,46.29,47.90,0.97,1,1,+,1913026,1913877,283,-,hypothetical protein
LIC11712,46.28,76.85,0.60,0.462502076,1,-,2083177,2084568,463,mgtE,magnesium transporter
LIC12992,46.23,16.44,2.81,0.004047432,1,-,3636410,3638662,750,sulP,sulfate permease
LIC12334,46.19,59.43,0.78,0.704295306,1,+,2818377,2819363,328,lplA,lipoate-protein ligase a
LIC10883,46.06,95.70,0.48,0.246019697,1,+,1069164,1069778,204,-,hypothetical protein
LIC11844,46.06,70.07,0.66,0.5931584,1,+,2238360,2239307,315,-,hypothetical protein
LIC13130,46.00,89.80,0.51,0.208455961,1,+,3832946,3835576,876,glnD,protein-PII uridylyltransferase
LIC20142,45.97,75.27,0.61,0.42987832,2,+,169778,170311,177,apt,adenine phosphoribosyltransferase
LIC10235,45.87,47.26,0.97,0.982949342,1,+,271675,271959,94,-,hypothetical protein
LIC20093,45.85,52.29,0.88,0.851734998,2,-,108571,109062,163,bcp,bacterioferritin comigratory protein
LIC12466,45.85,58.85,0.78,0.686203284,1,+,2983819,2984910,363,carA,carbamoyl phosphate synthase small subunit
LIC12521,45.78,41.12,1.11,0.837615719,1,-,3050958,3056237,"1,759",-,serine/threonine kinase
LIC11109,45.75,34.30,1.33,0.700782792,1,+,1370257,1371969,570,-,hypothetical protein
LIC13231,45.66,25.74,1.77,0.369428487,1,+,3966708,3968021,437,-,hypothetical protein
LIC12798,45.66,8.10,5.64,3.65E-05,1,+,3404779,3405393,204,-,TetR family transcriptional regulator
LIC12170,45.51,37.30,1.22,0.846380331,1,-,2622555,2623703,382,-,hypothetical protein
LIC13370,45.49,49.65,0.92,1,1,-,4132708,4133958,416,cysN,sulfate adenylyltransferase subunit 1
LIC11058,45.47,7.26,6.27,8.69E-07,1,-,1303317,1303913,198,lemA,lipoprotein
LIC12377,45.45,29.38,1.55,0.686203284,1,-,2881036,2882064,342,capA,capsule biosynthesis protein
LIC13220,45.34,42.71,1.06,1,1,-,3951011,3953857,948,hepA,ATP-dependent RNA helicase
LIC10825,45.31,30.83,1.47,0.56176024,1,+,997162,1004301,"2,379",-,hypothetical protein
LIC12408,45.31,38.05,1.19,0.915690369,1,+,2919712,2921229,505,-,hypothetical protein
LIC14003,45.30,46.40,0.98,1,1,-,2168316,2168492,58,-,hypothetical protein
LIC20101,45.27,55.79,0.81,0.848117213,2,-,117341,117892,183,cheD,hypothetical protein
LIC11560,45.15,29.45,1.53,0.431140632,1,+,1921387,1922082,231,rnhB,ribonuclease HII
LIC20274,44.92,36.95,1.22,0.813449227,2,+,347217,347969,250,-,hypothetical protein
LIC11698,44.88,40.42,1.11,0.996409467,1,-,2063977,2065194,405,tyrS,tyrosyl-tRNA synthetase
LIC12909,44.85,43.13,1.04,0.993365398,1,+,3531712,3532929,405,lysC,aspartate kinase
LIC12659,44.82,15.45,2.90,0.026574431,1,+,3222663,3222893,76,vapB,virulence-associated protein
LIC12127,44.63,33.75,1.32,0.820203343,1,-,2569315,2571063,582,-,glycosyl transferase
LIC14002,44.63,28.35,1.57,0.431759951,1,-,2738689,2739762,357,-,hypothetical protein
